,product,year,anomaly_score,normalized_anomaly_score,num_edges
119,841229,2021,1.4077737,0.01224988,5187
120,750110,2022,2.1859248,0.14269452,260
121,750110,2019,0.60654163,-0.035962135,150
122,750110,2017,0.3933918,-0.058603868,131
123,750110,2020,0.6587446,-0.028609263,132
124,750110,2018,0.7212809,-0.0219509,111
125,750110,2021,1.2633963,0.037742075,151
126,720827,2022,1.4683219,0.03936892,955
127,720827,2019,0.8546996,-0.008644883,1018
128,720827,2017,0.9391697,-0.0017551229,1037
129,720827,2020,0.4241253,-0.04269219,932
130,720827,2018,1.1824535,0.012545253,1019
131,720827,2021,1.2408389,0.021644857,1012
132,721931,2022,1.6499583,0.021531051,1133
133,721931,2019,1.1861382,0.0058837403,1254
134,721931,2017,0.7958534,-0.005292793,1316
135,721931,2020,0.83548594,-0.0046430225,1211
136,721931,2018,1.1133649,0.0036543852,1254
137,721931,2021,1.7172338,0.022534281,1153
138,750711,2022,1.3386922,0.019622693,367
139,750711,2019,4.531778,0.30121258,348
140,750711,2017,0.3733865,-0.05510866,338
141,750711,2020,0.5290815,-0.02397243,357
142,750711,2018,2.7145255,0.15889196,357
143,750711,2021,0.4138678,-0.0297617,374
144,722840,2022,1.6317306,0.05936984,1224
145,722840,2019,0.9199374,-0.005119285,1322
146,722840,2017,1.2219528,0.021611504,1238
147,722840,2020,0.94988304,-0.0018014896,1263
148,722840,2018,1.3036164,0.02865609,1273
149,722840,2021,1.4295663,0.040251054,1261
150,282520,2022,187.73099,4.868543,631
151,282520,2019,20.970148,0.56893164,615
152,282520,2017,17.882095,0.816563,573
153,282520,2020,7.425722,0.15703009,602
154,282520,2018,19.969683,0.63582534,567
155,282520,2021,9.909198,0.24871942,624
156,850650,2022,1.9079144,0.05291993,4944
157,850650,2019,1.5663329,0.03485701,5044
158,850650,2017,1.8314022,0.056168646,4847
159,850650,2020,1.67742,0.041724462,4903
160,850650,2018,1.7555494,0.04815328,4949
161,850650,2021,1.9139415,0.054245636,5182
162,400249,2022,1.5505816,0.054276183,1042
163,400249,2019,1.113946,0.0130741,988
164,400249,2017,1.3068898,0.031263985,971
165,400249,2020,0.761182,-0.020536315,984
166,400249,2018,1.502219,0.051142056,990
167,400249,2021,1.0173885,0.0036901878,1048
168,291613,2022,1.2433245,0.029646965,556
169,291613,2019,0.9735891,0.0012031083,545
170,291613,2017,1.4995698,0.056196306,577
171,291613,2020,0.7097782,-0.028596828,538
172,291613,2018,1.6473451,0.07354924,572
173,291613,2021,1.8057172,0.09151591,613
174,291823,2022,2.4954808,0.10053502,1014
175,291823,2019,3.0555136,0.1608714,952
176,291823,2017,1.5802754,0.048643198,928
177,291823,2020,1.3980305,0.027309746,964
178,291823,2018,1.8119364,0.066837706,927
179,291823,2021,1.4460696,0.031214282,971
180,292146,2022,2.0919516,0.14016356,180
181,292146,2019,1.6153033,0.072629325,150
182,292146,2017,1.6352065,0.06995266,138
183,292146,2020,1.97232,0.114886574,169
184,292146,2018,1.7818253,0.08723531,163
185,292146,2021,2.8813014,0.23056261,168
186,270900,2022,2.4524903,0.115568705,1466
187,270900,2019,0.8759718,-0.0073845824,1531
188,270900,2017,0.52901167,-0.035560165,1643
189,270900,2020,0.48985592,-0.03838081,1415
190,270900,2018,0.9776552,0.0019926103,1554
191,270900,2021,1.1103891,0.0122513445,1510
192,271113,2022,3.2625575,0.15883462,1714
193,271113,2019,0.8711051,-0.005753894,1846
194,271113,2017,0.9338416,-0.0018853068,1878
195,271113,2020,0.75673974,-0.012623176,1748
196,271113,2018,1.355659,0.030848397,1864
197,271113,2021,2.5901322,0.12228518,1806
198,271114,2022,0.3284776,-0.011745995,585
199,271114,2019,0.1166757,-0.016777037,579
200,271114,2017,0.1228182,-0.017895887,594
201,271114,2020,0.094824426,-0.016715756,573
202,271114,2018,0.14969108,-0.01683801,610
203,271114,2021,0.29877728,-0.012449611,559
204,271129,2022,2.2968128,0.030698333,1074
205,271129,2019,3.7747896,0.06106096,1070
206,271129,2017,0.11895144,-0.019036956,1056
207,271129,2020,1.3814367,0.008671751,1012
208,271129,2018,1.6678407,0.014040115,1065
209,271129,2021,0.7098962,-0.0067452686,1028
210,271210,2022,0.6209076,-0.0056017367,2236
211,271210,2019,0.26097584,-0.011337352,2292
212,271210,2017,0.27282706,-0.011422275,2206
213,271210,2020,0.31517988,-0.010298681,2183
214,271210,2018,0.36144522,-0.009893184,2211
215,271210,2021,0.46844196,-0.00791086,2251
216,271320,2022,4.116047,0.15476465,1291
217,271320,2019,1.1359156,0.0070788306,1315
218,271320,2017,0.98317707,-3.8545713e-05,1221
219,271320,2020,0.70512587,-0.01336295,1328
220,271320,2018,1.2756037,0.00087054505,1271
221,271320,2021,1.7485592,0.036906462,1275
222,270111,2022,3.8565435,0.14150982,970
223,270111,2019,0.7678647,-0.010113201,899
224,270111,2017,0.5253093,-0.023007913,873
225,270111,2020,0.3627453,-0.031722717,842
226,270111,2018,0.66822207,-0.0155027695,899
227,270111,2021,1.9572629,0.04985567,870
228,270112,2022,6.2953553,0.31257087,866
229,270112,2019,1.5908678,0.03550464,762
230,270112,2017,1.4754887,0.025781915,740
231,270112,2020,0.7145753,-0.013232087,716
232,270112,2018,1.766864,0.04666383,722
233,270112,2021,1.6067407,0.03823289,784
234,282710,2022,1.4423529,0.012530991,1249
235,282710,2019,1.6164541,0.016458701,1209
236,282710,2017,1.9121056,0.020985445,1214
237,282710,2020,1.4052624,0.01136608,1207
238,282710,2018,1.3025812,0.007738279,1229
239,282710,2021,5.0451813,0.116279334,1279
240,750400,2022,7.6488004,0.2473003,1049
241,750400,2019,3.3512843,0.12330056,1003
242,750400,2017,0.82930666,-0.0079486305,960
243,750400,2020,1.6947011,0.03172647,984
244,750400,2018,2.4633527,0.08059321,1015
245,750400,2021,5.1349335,0.1884341,1045
246,294190,2022,0.22005422,-0.012640857,2706
247,294190,2019,0.5501687,-0.0074018324,2715
248,294190,2017,0.26633495,-0.012385254,2764
249,294190,2020,0.37944064,-0.010254779,2681
250,294190,2018,0.4058132,-0.009848463,2723
251,294190,2021,0.30500838,-0.011366854,2749
252,760110,2022,2.4115992,0.0706109,1642
253,760110,2019,0.8678034,-0.005649689,1629
254,760110,2017,1.1993489,0.012382383,1662
255,760110,2020,1.1133032,0.0070946845,1525
256,760110,2018,0.99762964,0.00077814003,1661
257,760110,2021,1.8731445,0.04665523,1650
258,853400,2022,1.3836703,0.006048094,6125
259,853400,2019,1.2129099,0.0033867417,6077
260,853400,2017,1.5029933,0.007849694,5901
261,853400,2020,1.2340575,0.0037060115,5998
262,853400,2018,1.559284,0.008709387,6000
263,853400,2021,1.9470634,0.015018353,6107
264,870324,2022,0.27063,-0.016464647,3980
265,870324,2019,0.3452358,-0.015326972,4171
266,870324,2017,0.5984718,-0.009576542,4074
267,870324,2020,0.25076613,-0.017353417,3867
268,870324,2018,0.47748008,-0.012250513,4078
269,870324,2021,0.2464728,-0.017195303,4094
270,870323,2022,1.0608426,0.0016974525,6174
271,870323,2019,1.6460682,0.017348005,6808
272,870323,2017,1.7351378,0.019912846,6777
273,870323,2020,1.0784377,0.0015923667,6337
274,870323,2018,1.7091839,0.019270573,6838
275,870323,2021,0.9418954,-0.0013099068,6608
276,870322,2022,2.363766,0.037821967,4661
277,870322,2019,3.095151,0.061622523,4876
278,870322,2017,2.4746735,0.04602351,4754
279,870322,2020,2.15765,0.031543173,4637
280,870322,2018,2.9988954,0.06073061,4861
281,870322,2021,1.3072946,0.008621896,4790
282,870321,2022,2.240222,0.058455784,3538
