,product,year,anomaly_score,normalized_anomaly_score,num_edges
0,854060,2019,0.027420562,-0.021274915,390
1,854060,2022,0.0056764544,-0.020721368,397
2,854060,2020,0.013869992,-0.021200558,358
3,854060,2017,0.011445862,-0.022547223,434
4,854060,2018,0.02825314,-0.021701852,418
5,854060,2021,0.016516106,-0.020795502,384
6,854091,2019,0.0485363,-0.05858943,481
7,854091,2022,0.041609216,-0.055692878,443
8,854091,2020,0.03784458,-0.058044184,417
9,854091,2017,0.037749812,-0.06161561,454
10,854091,2018,0.03624295,-0.060743142,430
11,854091,2021,0.051692784,-0.05621284,415
12,854129,2019,2.2101245,0.026803864,3982
13,854129,2022,3.9211078,0.050129253,4133
14,854129,2020,2.8068087,0.03861823,3903
15,854129,2017,1.9201034,0.02151175,3978
16,854129,2018,2.1957035,0.027179236,4050
17,854129,2021,4.016873,0.059742555,4081
18,854121,2019,1.3704056,0.009041952,2421
19,854121,2022,1.3043689,0.008128382,2662
20,854121,2020,1.5552295,0.013818507,2363
21,854121,2017,1.2963121,0.006902564,2475
22,854121,2018,1.3185846,0.007624464,2485
23,854121,2021,1.360727,0.009345691,2577
24,854130,2019,1.4374673,0.014523783,2914
25,854130,2022,2.4005105,0.043478645,2945
26,854130,2020,0.49811742,-0.015615901,2838
27,854130,2017,0.6404092,-0.010948951,2793
28,854130,2018,0.81373537,-0.0055812793,2866
29,854130,2021,1.0168694,0.0010196737,2876
30,854071,2019,0.71323717,-0.012791836,1657
31,854071,2022,0.6764186,-0.014628749,1673
32,854071,2020,0.69978446,-0.013130208,1618
33,854071,2017,0.68161803,-0.014235584,1482
34,854071,2018,0.62534577,-0.016775576,1530
35,854071,2021,0.8281848,-0.00711788,1669
36,852313,2019,1.3397405,0.010338574,4038
37,852313,2022,1.0584997,0.0017544904,3675
38,852313,2020,1.6372807,0.019399092,3889
39,852313,2017,1.6782498,0.019926105,3876
40,852313,2018,1.3630128,0.010593098,4042
41,852313,2021,1.777278,0.022632163,3871
42,852390,2019,1.8216572,0.021769622,8895
43,852390,2022,4.1336136,0.060943212,9357
44,852390,2020,4.129451,0.08290935,8576
45,852390,2017,1.4627688,0.011633983,9062
46,852390,2018,1.8392695,0.021452405,9055
47,852390,2021,4.8726807,0.084914446,8993
